menu_provider_key,menu_provider_label,provider_key,fornitore,commodity,tipo_prezzo,nome_offerta,codice_offerta,data_inizio,data_fine,prezzo_calcolo,quota_fissa_calcolo,azione,motivi,url_offerta,fonte,score
"hera","Hera Comm","hera","Hera Comm","luce","fisso","PiuControllo Flat Easy Casa EE_24","000265ESFML01XX000FLTE2GEC24XV47","09/06/2026_00:00:00","25/06/2026_23:59:59","0.12386","120","pronta_fisso","prezzo fisso domestico leggibile","https://estenergy.gruppohera.it/casa/offerte-luce-gas/no-web/piucontrollo-flat-easy-casa","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.868"
"hera","Hera Comm","hera","Hera Comm","luce","fisso","PiuControllo Flat Easy Casa EE_24","000415ESFML01XX000FLTE2GEC24XV47","09/06/2026_00:00:00","25/06/2026_23:59:59","0.12386","120","pronta_fisso","prezzo fisso domestico leggibile","https://heracomm.gruppohera.it/casa/offerte-luce-gas/no-web/piucontrollo-flat-easy-casa","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.868"
"magis","Magis Energia","magis","Magis Energia","luce","fisso","MIA LUCE FIX SMART","000592ESFML02XXDBX0626XMIAFIXSMA","17/06/2026_00:00:00","30/06/2026_23:59:00","0.1243","120","pronta_fisso","prezzo fisso domestico leggibile","https://www.magisenergia.it/it/altre-offerte-magis-energia/mia-luce-fix-smart","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.868"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Ore Per Te","000362ESFML01XXLZ16S2D000000A000","19/06/2026_00:00:00","09/07/2026_23:59:59","0.1254","121.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.866"
"illum","Illumia","illum","Illumia","luce","fisso","Prezzo Garantito Luce 36","000155ESFML03XXZZ05056Z260611E01","11/06/2026_00:00:00","10/07/2026_23:59:59","0.140998","120","pronta_fisso","prezzo fisso domestico leggibile","https://www.illumia.it/casa/luce/offerte-illumia-generalizzate/?p=null","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.866"
"iren","Iren Luce e Gas","iren","Iren Luce e Gas","luce","fisso","IREN PRIMA SCELTA LUCE FISSA","000208ESFML12XX00IEDOPRIMF260702","12/06/2026_00:00:00","02/07/2026_23:59:59","0.11","123","pronta_fisso","prezzo fisso domestico leggibile","https://www.irenlucegas.it/casa/pacchetti-offerte-luce-e-gas/altre-offerte","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.866"
"magis","Magis Energia","magis","Magis Energia","luce","fisso","MIA LUCE FIX PRO","000592ESFML02XXDMX0626XMIAFIXPRO","17/06/2026_00:00:00","30/06/2026_23:59:00","0.1402","120","pronta_fisso","prezzo fisso domestico leggibile","https://www.magisenergia.it/it/altre-offerte-magis-energia/mia-luce-fix-pro","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.866"
"vivi","Vivi Energia","vivi","Vivi Energia","luce","fisso","VIVIweb Allday Fix Luce","000652ESFML12XXWEBALLDAYEF220626","22/06/2026_00:00:00","25/06/2026_23:59:59","0.1421","120","pronta_fisso","prezzo fisso domestico leggibile","https://documenti.vivienergia.it/WEBALLDAYEF","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.866"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Chiara Light","000362ESFML01XXLW16S2D000000A000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.1433","121.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.864"
"eon","E.ON","eon","E.ON Energia","luce","fisso","E.ON Luce Tua","000362ESFML01XXLS16S2D000000A000","19/06/2026_00:00:00","02/07/2026_23:59:59","0.1442","121.2311","pronta_fisso","prezzo fisso domestico leggibile","https://www.eon-energia.com/informazioni-utili/delibera-arera-di-prima-attuazione-dl-bollette.html","Portale Offerte ARERA/Acquirente Unico Open Data 25/06/2026","106.864"
